name,email,bender,previous-programming,cat-dog
A,the-last-Rbender@duke.edu,Airbender,No,dog
Appa,yip-yip-appa@duke.edu,Airbender,No,cat
Bumi,ok-bumi@duke.edu,Earthbender,No,cat
Soka,sokka-the-great@duke.edu,None,Somewhat,dog
Katara,katara-water@duke.edu,Waterbender,Yes,dog
Suki,suki123@duke.edu,Earthbender,Yes,cat
Zuko,zuko123@duke.edu,Firebender,Yes,cat
Momo,momo123@duke.edu,Airbender,Yes,dog
Uncle Iroh,uncle-iroh123@duke.edu,Firebender,No,cat
Azula,azula123@duke.edu,Firebender,Yes,cat
Mai,mai123@duke.edu,Firebender,Yes,cat
Ty Lee,tylee123@duke.edu,None,No,dog
Toph Beifong,the-blind-bandit@duke.edu,Earthbender,No,dog
